time,input_voltage,el_power
810.0,3.0,1102.94969345076
810.07028,10.0,1228.79172023015
811.04,3.0,1217.41310991914
811.04,3.0,1199.40378597924
811.06938,10.0,1223.04174518756
812.04,3.0,1140.09001316541
812.06848,10.0,1244.96086584765
812.08,3.0,1113.1998165742
813.06,3.0,1223.75198667755
813.06758,10.0,1229.259057673
813.18,3.0,1200.37793931592
814.06668,10.0,1248.11702383749
814.1,3.0,1124.81010960077
814.18,3.0,1105.46534909181
815.06578,10.0,1262.97440343992
815.12,3.0,1207.67154280668
815.2,3.0,1184.36130721322
816.06488,10.0,1248.07756026491
816.14,3.0,1136.925265935
816.24,3.0,1107.24332915618
817.06398,10.0,1245.10147565181
817.14,3.0,1215.72230088151
817.26,3.0,1195.77355045805
818.06308,10.0,1275.36554202823
818.2,3.0,1125.81753313296
818.3,3.0,1123.20298270483
818.84,3.445,1253.79031401101
819.06218,10.0,1263.10120975944
819.22,3.0,1223.43351607451
819.3,3.0,1205.91384535781
819.84,3.445,1349.83685404657
820.06128,10.0,1263.1359607467
820.24,3.0,1129.08835682571
820.3,3.0,1135.8091561984
820.84,3.445,1262.0338129424
821.06038,10.0,1285.34917982739
821.3,3.0,1206.36832940252
821.32,3.0,1219.36896846842
821.84,3.445,1370.20581898593
822.05948,10.0,1294.47793816938
822.3,3.0,1134.15794377397
822.34,3.0,1125.08533354239
822.84,3.445,1254.78248973483
823.05858,10.0,1280.09676206696
823.3,3.0,1212.71152943067
823.36,3.0,1216.59497896549
823.84,3.445,1366.04728465111
824.05768,10.0,1292.69365750048
824.32,3.0,1128.93092852121
824.36,3.0,1136.33659905801
824.84,3.445,1262.20545732868
825.05678,10.0,1286.45899460164
825.34,3.0,1206.50255781502
825.36,3.0,1218.55101201838
825.84,3.445,1353.93143053748
826.05588,10.0,1310.95757103911
826.36,3.0,1135.94306525839
826.36,3.0,1138.01823643605
826.84,3.445,1259.16680593112
827.05498,10.0,1290.56013585541
827.36,3.0,1211.99124137661
827.4,3.0,1215.83654573593
827.84,3.445,1375.91515142045
828.05408,10.0,1315.23676815035
828.36,3.0,1123.76402805566
828.4,3.0,1122.92655161193
828.84,3.445,1253.94668688655
829.05318,10.0,1302.43505295009
829.36,3.0,1218.37923556839
829.44,3.0,1218.28433154566
829.84,3.445,1363.11627529072
830.05228,10.0,1319.64517850164
830.4,3.0,1135.53976468185
830.46,3.0,1120.52608771423
830.84,3.445,1250.49042114341
831.05138,10.0,1302.04647998762
831.42,3.0,1217.93231836206
831.5,3.0,1214.91193599697
831.84,3.445,1355.97784190159
832.05048,10.0,1336.80359372363
832.44,3.0,1138.25965865968
832.56,3.0,1124.52408769533
832.84,3.445,1266.81653628007
833.04958,10.0,1321.66107462363
833.44,3.0,1216.3148749751
833.56,3.0,1208.01385312952
833.84,3.445,1354.94495568346
834.04868,10.0,1323.4972365213
834.44,3.0,1122.10031432837
834.56,3.0,1128.61440917902
834.84,3.445,1251.70098299546
835.04778,10.0,1342.72898449647
835.48,3.0,1206.77589193181
835.56,3.0,1200.59894014323
835.84,3.445,1361.21961951165
836.04688,10.0,1349.45962762754
836.5,3.0,1124.50231884414
836.56,3.0,1124.87032359448
836.84,3.445,1245.29063072893
837.04598,10.0,1330.78013998277
837.5,3.0,1205.10840035945
837.56,3.0,1203.96925785111
837.84,3.445,1357.1039302203
838.04508,10.0,1362.21677467969
838.54,3.0,1121.72844297097
838.56,3.0,1134.78137080549
838.84,3.445,1250.66780151127
839.04418,10.0,1347.4065009595
839.56,3.0,1209.86839524791
839.6,3.0,1208.84187235983
839.84,3.445,1377.65831841756
840.04328,10.0,1362.56991090608
840.56,3.0,1136.00744964179
840.62,3.0,1114.75836045137
840.84,3.445,1254.74002940485
841.04238,10.0,1348.38109996351
841.56,3.0,1214.16710933642
841.7,3.0,1199.79753776112
841.84,3.445,1382.34475094375
842.04148,10.0,1377.60070351056
842.56,3.0,1126.07484631695
